学时,学分,课程名,上课教师,选课人数,上课班级,已排时间地点,课程容量,结课周次,结课星期,上课年级,上课专业,开课周次,开课星期,是否校公选课,课程号,课序号,开课单位,教师号,学校校区,校公选课类别,教室类型,选课课号,课程类别,调课结果,本研标志,课程性质,上课座位数
32,1,航空航天工程-创新实践I,"徐瑞,龙嘉腾",,"01132201,40012201","5-14周 星期五 8-10节 综教B204,5-14周 星期五 1-2节 综教B306",46,14,星期五,2022级,"航空航天工程, 航空航天工程(中外合作办学)",5,5,否,100015047,01,宇航学院,"6120104338,6120210254",良乡校区,,,20242025110001504701,专业课,,本科生,必修,60
48,3,气体动力学基础,刘艳明,,01212201,"4-15周 星期一 3-4节 理教楼307,4-15周 星期四 3-4节 理教楼407",30,15,星期四,2022级,飞行器动力工程,4,1,否,100015048,01,宇航学院,6120104638,良乡校区,,,20242025110001504801,专业课,,本科生,必修,157
48,3,工程热力学A,武志文,,01212201,"4-11周 星期二 3-5节 综教B402,4-11周 星期五 3-5节 综教B402",30,11,星期五,2022级,飞行器动力工程,4,2,否,100015049,01,宇航学院,6120104738,良乡校区,,,20242025110001504901,专业课,,本科生,必修,108
48,3,传热与燃烧基础,魏志军,,01212201,"12-19周 星期一 8-10节 综教B304,12-19周 星期三 3-5节 综教B304",30,19,星期三,2022级,飞行器动力工程,12,1,否,100015050,01,宇航学院,6120103148,良乡校区,,,20242025110001505001,专业课,,本科生,必修,93
48,3,智能结构技术,郭晓岗,,01062201,4-19周 星期二 8-10节 文萃楼F101,11,19,星期二,2022级,航空宇航与智能飞行器技术（徐特立英才班）,4,2,否,100015051,01,宇航学院,6120190045,良乡校区,,,20242025110001505101,专业基础课程,,本科生,必修,28
32,2,热学基础,杨哩娜,,01232201,6-16周 星期三 8-10节 文萃楼I103,30,16,星期三,2022级,武器发射工程,6,3,否,100015052,01,宇航学院,6120190093,良乡校区,,,20242025110001505201,专业课,,本科生,选修,100
40,2.5,测试技术B,李兴城,,01712201,"4-13周 星期一 1-2节 综教B406,4-13周 星期四 6-7节 综教B406",30,13,星期四,2022级,探测制导与控制技术（01）,4,4,否,100015056,01,宇航学院,6120100031,良乡校区,,,20242025110001505601,专业基础课程,,本科生,选修,60
32,1,科创实践I--智能飞行器技术,宋韬,,01062201,"1周 星期一 2-9节 综教B306,1周 星期二 2-9节 综教B306,1周 星期三 2-9节 综教B306,1周 星期四 2-9节 综教B306",11,1,星期四,2022级,航空宇航与智能飞行器技术（徐特立英才班）,1,1,否,100015057,01,宇航学院,6120160130,良乡校区,,,20242025110001505701,专业基础课程,,本科生,必修,60
32,1,科创实践II--智能飞行器技术,金忍,,01062201,"2周 星期一 2-9节 综教B306,2周 星期二 2-9节 综教B306,2周 星期三 2-9节 综教B306,2周 星期四 2-9节 综教B306",11,2,星期四,2022级,航空宇航与智能飞行器技术（徐特立英才班）,2,1,否,100015058,01,宇航学院,6120230034,良乡校区,,,20242025110001505801,专业基础课程,,本科生,必修,60
64,4,弹性力学A,"赵颖涛,张凯",,01312201,"4-19周 星期一 3-4节 综教A501,4-19周 星期三 3-4节 综教A501",30,19,星期三,2022级,工程力学,4,1,否,100015102,01,宇航学院,"6120103830,6120110069",良乡校区,,,20242025110001510201,专业课,,本科生,必修,159
